id,release_date,movie,production_budget,domestic_gross,worldwide_gross,Net_gain
3,7-Jun-19,Dark Phoenix,350000000,42762350,149762350,-200237650
195,31-Dec-20,Moonfall,150000000,0,0,-150000000
194,11-Mar-11,Mars Needs Moms,150000000,21392758,39549758,-110450242
342,14-Jun-19,Men in Black: International,110000000,3100000,3100000,-106900000
353,27-Apr-01,Town & Country,105000000,6712451,10364769,-94635231
405,16-Aug-02,The Adventures of Pluto Nash,100000000,4411102,7094995,-92905005
480,13-Dec-17,Bright,90000000,0,0,-90000000
481,31-Dec-19,Army of the Dead,90000000,0,0,-90000000
536,21-Feb-20,Call of the Wild,82000000,0,0,-82000000
478,21-Apr-17,The Promise,90000000,8224288,10551417,-79448583
